Req. ID,Role,Req. Description,RANK,User story title,Acceptance Criteria
Req 001,Semua Role,Sistem harus menyediakan fitur login menggunakan kredensial yang valid (email/username dan password).,1,"Sebagai pengguna, saya ingin login dengan kredensial valid, sehingga saya bisa masuk ke sistem.","S1: Given di hal. login, When input email & pass benar, Then masuk dashboard.

S2: Given di hal. login, When input pass salah, Then muncul pesan error."
Req 002,Semua Role,Sistem harus menyediakan fitur logout untuk mengakhiri sesi pengguna.,1,"Sebagai pengguna, saya ingin logout dari sistem, sehingga sesi saya berakhir dengan aman.","S1: Given sudah login, When klik logout, Then sesi berakhir & ke hal. login.

S2: Given sesi berakhir, When akses hal. internal via URL, Then diredireksi ke login."
Req 005,Super Administrator,Sistem harus memungkinkan melihat daftar seluruh pengguna.,1,"Sebagai Super Admin, saya ingin melihat daftar seluruh pengguna, sehingga saya bisa memantau user yang ada.","S1: Given di menu User, When buka halaman daftar, Then muncul list semua user.

S2: Given daftar user, When cari nama tertentu, Then muncul hasil yang relevan."
Req 008,Super Administrator,Sistem harus memungkinkan reset password pengguna.,1,"Sebagai Super Admin, saya ingin reset password pengguna, untuk membantu user yang lupa akses.","S1: Given pilih user, When klik reset password, Then password kembali ke default.

S2: Given reset sukses, When user login dengan pass lama, Then login ditolak."
Req 014,Akademik,Sistem harus memungkinkan pengelolaan data guru aktif.,1,"Sebagai Akademik, saya ingin mengelola data guru aktif, untuk memastikan data staf pengajar lengkap.","S1: Given menu Guru, When tambah data NIP & Nama, Then guru masuk daftar aktif.

S2: Given data guru, When ubah status jadi non-aktif, Then guru tidak muncul di jadwal."
Req 015,Akademik,Sistem harus memungkinkan pengelolaan data siswa.,1,"Sebagai Akademik, saya ingin mengelola data siswa, untuk memelihara database peserta didik.","S1: Given menu Siswa, When input NISN & biodata, Then siswa tersimpan.

S2: Given list siswa, When filter per tahun angkatan, Then muncul siswa angkatan tsb."
Req 018,Guru,Sistem harus memungkinkan pencatatan absensi siswa per jadwal pelajaran.,1,"Sebagai Guru, saya ingin mencatat absensi siswa per jadwal, untuk mendata kehadiran di kelas.","S1: Given buka sesi absen, When tandai siswa ""Hadir"", Then catatan kehadiran tersimpan.

S2: Given sudah absen, When simpan data tanpa pilih status, Then muncul validasi."
Req 020,Guru,Sistem harus memungkinkan pembuatan tugas beserta instruksi dan lampiran.,1,"Sebagai Guru, saya ingin membuat tugas dengan instruksi, agar siswa paham cara pengerjaan tugas.","S1: Given buat tugas, When tulis instruksi & simpan, Then instruksi terbaca oleh siswa.

S2: Given edit tugas, When hapus instruksi lama, Then instruksi terupdate jadi kosong."
Req 021,Guru,Sistem harus memungkinkan penentuan batas waktu pengumpulan tugas.,1,"Sebagai Guru, saya ingin menentukan deadline tugas, agar siswa disiplin mengumpulkan.","S1: Given buat tugas, When set tanggal/jam deadline, Then sistem kunci upload setelah waktu tsb.

S2: Given deadline lewat, When siswa coba upload, Then tombol submit non-aktif."
Req 023,Guru,Sistem harus memungkinkan pemberian nilai terhadap tugas siswa.,1,"Sebagai Guru, saya ingin memberikan nilai terhadap tugas, untuk memberikan apresiasi hasil kerja.","S1: Given submission siswa, When input skor 85 & simpan, Then nilai muncul di siswa.

S2: Given input skor > 100, When simpan, Then sistem menolak input."
Req 025,Siswa,Sistem harus memungkinkan siswa melihat jadwal pembelajaran harian.,1,"Sebagai Siswa, saya ingin melihat jadwal harian, agar saya tahu pelajaran apa yang diikuti.","S1: Given di dashboard siswa, When buka menu Jadwal, Then muncul jadwal hari ini.

S2: Given hari libur, When cek jadwal, Then muncul keterangan ""Tidak ada jadwal""."
Req 026,Siswa,Sistem harus memungkinkan siswa mengakses dan mengunduh materi pembelajaran.,1,"Sebagai Siswa, saya ingin akses & unduh materi, untuk mendukung proses belajar.","S1: Given list materi, When klik tombol unduh, Then file terdownload ke perangkat.

S2: Given materi video, When klik play, Then video terputar di browser."
